date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-02-04,204.19,205.02,203.57,203.79,3188819,3188819,-1.39,-0.677,204.0965,"Feb 4, 13",0
2013-02-05,204.31,204.75,202.51,202.79,3636737,3636737,-1,-0.491,203.2077,"Feb 5, 13",-0.004907012120319938
2013-02-06,200.39,201.29,199.56,201.02,3624103,3624103,-1.77,-0.873,200.6235,"Feb 6, 13",-0.013592423573286137
2013-02-07,200.62,200.91,198.68,199.74,3076693,3076693,-1.28,-0.637,199.5332,"Feb 7, 13",-0.019873399087295664
2013-02-08,199.97,202.09,199.68,201.68,2893254,2893254,1.94,0.971,201.5001,"Feb 8, 13",-0.010353795573874995
2013-02-11,200.98,201.95,199.75,200.16,2944651,2944651,-1.52,-0.754,200.4326,"Feb 11, 13",-0.01781245399676135
2013-02-12,200.01,200.735,199.02,200.04,2461779,2461779,-0.12,-0.06,200.135,"Feb 12, 13",-0.018401295451199767
2013-02-13,200.65,200.95,199.57,200.09,2169757,2169757,0.05,0.025,200.224,"Feb 13, 13",-0.01815594484518371
2013-02-14,199.73,200.32,199.26,199.65,3294126,3294126,-0.44,-0.22,199.8826,"Feb 14, 13",-0.020315030178124475
2013-02-15,199.98,201.25,199.82,200.98,3627887,3627887,1.33,0.666,200.5156,"Feb 15, 13",-0.013788704058099035
2013-02-19,200.6,201.89,200.22,200.32,2998317,2998317,-0.66,-0.328,200.7445,"Feb 19, 13",-0.017027332057510176
2013-02-20,200.62,201.72,198.86,199.31,3715311,3715311,-1.01,-0.504,200.1358,"Feb 20, 13",-0.02198341429903327
2013-02-21,198.63,199.07,198.11,198.33,3923051,3923051,-0.98,-0.492,198.4806,"Feb 21, 13",-0.026792286176946758
2013-02-22,199.23,201.09,198.84,201.09,3107876,3107876,2.76,1.392,200.2361,"Feb 22, 13",-0.013248932724863775
2013-02-25,201.67,202.49,197.51,197.51,3845276,3845276,-3.58,-1.78,199.8836,"Feb 25, 13",-0.03081603611560921
2013-02-26,198.63,199.9,197.84,199.14,3391562,3391562,1.63,0.825,199.0723,"Feb 26, 13",-0.022817606359487735
2013-02-27,198.89,202.75,198.6,202.33,4185545,4185545,3.19,1.602,201.2175,"Feb 27, 13",-0.007164237695667008
2013-02-28,202.18,203.123,200.79,200.83,4689698,4689698,-1.5,-0.741,201.5122,"Feb 28, 13",-0.014524755876146914
2013-03-01,200.65,202.94,199.36,202.91,3308544,3308544,2.08,1.036,202.0062,"Mar 1, 13",-0.004318170665881522
2013-03-04,202.59,205.19,202.55,205.19,3693365,3693365,2.28,1.124,204.302,"Mar 4, 13",0.00686981696844794
2013-03-05,205.86,207.7,205.69,206.53,3807706,3807706,1.34,0.653,206.7755,"Mar 5, 13",0.013445213209676673
2013-03-06,207.03,208.49,206.66,208.38,3594899,3594899,1.85,0.896,207.8658,"Mar 6, 13",0.02252318563226853
2013-03-07,208.29,209.6,208.24,209.42,3884317,3884317,1.04,0.499,209.1094,"Mar 7, 13",0.027626478237401227
2013-03-08,209.85,210.74,209.43,210.38,3700086,3700086,0.96,0.458,210.1307,"Mar 8, 13",0.032337209872908404
2013-03-11,210.04,210.1999,209.04,210.08,3048901,3048901,-0.3,-0.143,209.7149,"Mar 11, 13",0.030865106236812507
2013-03-12,209.4,210.73,209.09,210.55,3591261,3591261,0.47,0.224,210.2451,"Mar 12, 13",0.03317140193336287
2013-03-13,210.2001,212.36,209.77,212.06,3355969,3355969,1.51,0.717,211.4985,"Mar 13, 13",0.04058099023504593
2013-03-14,212.15,215.86,212.15,215.8,5505484,5505484,3.74,1.764,214.9026,"Mar 14, 13",0.058933215565042545
2013-03-15,215.38,215.9,213.41,214.92,7935024,7935024,-0.88,-0.408,214.8393,"Mar 15, 13",0.05461504489916088
2013-03-18,212.9,214.5,212.64,213.21,3006125,3006125,-1.71,-0.796,213.7416,"Mar 18, 13",0.04622405417341389
2013-03-19,214.13,215.12,211.829,213.44,3198577,3198577,0.23,0.108,213.2396,"Mar 19, 13",0.047352666961087427
2013-03-20,214.76,215.82,214.3,215.06,3019153,3019153,1.62,0.759,215.0588,"Mar 20, 13",0.05530202659600574
2013-03-21,212.96,213,210.11,212.26,5830566,5830566,-2.8,-1.302,211.6419,"Mar 21, 13",0.04156239265910987
2013-03-22,212.21,213.17,211.619,212.08,3015847,3015847,-0.18,-0.085,212.2713,"Mar 22, 13",0.040679130477452384
2013-03-25,212.54,212.81,210.05,210.74,3242463,3242463,-1.34,-0.632,211.0111,"Mar 25, 13",0.03410373423622365
2013-03-26,211.77,212.504,211.5,212.36,2300240,2300240,1.62,0.769,212.1487,"Mar 26, 13",0.04205309387114197
2013-03-27,210.96,212.16,210.1,210.89,3222381,3222381,-1.47,-0.692,211.1835,"Mar 27, 13",0.03483978605427153
2013-03-28,209.83,213.44,209.735,213.3,3752999,3752999,2.41,1.143,212.4091,"Mar 28, 13",0.0466656852642427
2013-04-01,212.8,213.5,211.25,212.38,2144926,2144926,-0.92,-0.431,212.178,"Apr 1, 13",0.04215123411354828
2013-04-02,212.92,214.71,211.57,214.36,3116554,3116554,1.98,0.932,214.0885,"Apr 2, 13",0.051867118111781844
2013-04-03,214.32,214.89,212.6275,212.66,3128818,3128818,-1.7,-0.793,213.3686,"Apr 3, 13",0.043525197507237864
2013-04-04,212.77,212.93,210.04,211.31,3709490,3709490,-1.35,-0.635,211.1076,"Apr 4, 13",0.03690073114480598
2013-04-05,209.1,209.84,206.34,209.41,4147877,4147877,-1.9,-0.899,208.4596,"Apr 5, 13",0.02757740811619807
2013-04-08,209.07,209.32,207.33,209.32,2351166,2351166,-0.09,-0.043,208.427,"Apr 8, 13",0.02713577702536926
2013-04-09,209.56,210,208.61,209.22,2577249,2577249,-0.1,-0.048,209.305,"Apr 9, 13",0.026645075813337294
2013-04-10,211.86,212.51,210.47,212,3523612,3523612,2.78,1.329,211.8781,"Apr 10, 13",0.040286569507826726
2013-04-11,211.5,213.09,210.85,212.92,3655566,3655566,0.92,0.434,212.5183,"Apr 11, 13",0.044801020658521006
2013-04-12,210.79,211.49,209.78,211.38,3165397,3165397,-1.54,-0.723,210.7462,"Apr 12, 13",0.03724422199322834
2013-04-15,210.44,211.69,209.26,209.26,4217875,4217875,-2.12,-1.003,210.3211,"Apr 15, 13",0.026841356298150053
2013-04-16,210.84,212,209.2,212,2860054,2860054,2.74,1.309,211.1377,"Apr 16, 13",0.040286569507826726
2013-04-17,210.53,211.09,209.5,209.67,3269774,3269774,-2.33,-1.099,209.9812,"Apr 17, 13",0.02885323126748121
2013-04-18,210.11,210.25,206.15,207.15,6479291,6479291,-2.52,-1.202,206.0159,"Apr 18, 13",0.016487560724275055
2013-04-19,195.74,196.5,189.76,190,18846902,18846902,-17.15,-8.279,192.1958,"Apr 19, 13",-0.06766769713921189
2013-04-22,191.15,191.38,187.68,187.83,9846017,9846017,-2.17,-1.142,188.699,"Apr 22, 13",-0.0783159134403061
2013-04-23,189.27,192.555,188.61,191.61,6296229,6296229,3.78,2.012,190.8599,"Apr 23, 13",-0.05976740762549673
2013-04-24,192.16,192.5,191.09,191.71,3693898,3693898,0.1,0.052,191.9073,"Apr 24, 13",-0.05927670641346477
2013-04-25,192.69,195.17,192.32,193.95,4651956,4651956,2.24,1.168,194.077,"Apr 25, 13",-0.0482849992639482
2013-04-26,194.16,194.71,193.25,194.31,3490234,3490234,0.36,0.186,194.0614,"Apr 26, 13",-0.046518474900632954
