date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-02-04,27.87,28.02,27.42,27.44,50517950,50517950,-0.49,-1.754,27.6117,"Feb 4, 13",0
2013-02-05,27.62,27.66,27.36,27.495,35376009,35376009,0.055,0.2,27.5437,"Feb 5, 13",0.002004373177842555
2013-02-06,27.3799,27.54,27.25,27.34,41873134,41873134,-0.155,-0.564,27.3893,"Feb 6, 13",-0.003644314868804716
2013-02-07,27.35,27.39,27.1,27.283,38026105,38026105,-0.057,-0.208,27.2204,"Feb 7, 13",-0.005721574344023325
2013-02-08,27.35,27.71,27.31,27.55,33318306,33318306,0.267,0.979,27.5607,"Feb 8, 13",0.00400874635568511
2013-02-11,27.65,27.92,27.5,27.86,32247549,32247549,0.31,1.125,27.7353,"Feb 11, 13",0.015306122448979524
2013-02-12,27.88,28,27.75,27.88,35990829,35990829,0.02,0.072,27.8836,"Feb 12, 13",0.01603498542274044
2013-02-13,27.93,28.11,27.88,28.03,41715530,41715530,0.15,0.538,28.0083,"Feb 13, 13",0.021501457725947516
2013-02-14,27.92,28.06,27.87,28.04,32663174,32663174,0.01,0.036,27.9969,"Feb 14, 13",0.02186588921282791
2013-02-15,28.04,28.16,27.875,28.01,49650538,49650538,-0.03,-0.107,28.0085,"Feb 15, 13",0.0207725947521866
2013-02-19,27.8801,28.09,27.8,28.045,38804616,38804616,0.035,0.125,27.996,"Feb 19, 13",0.022048104956268237
2013-02-20,28.13,28.2,27.83,27.87,44109412,44109412,-0.175,-0.624,27.9469,"Feb 20, 13",0.015670553935860046
2013-02-21,27.74,27.74,27.23,27.49,49078338,49078338,-0.38,-1.363,27.5304,"Feb 21, 13",0.0018221574344022286
2013-02-22,27.68,27.76,27.48,27.76,31425726,31425726,0.27,0.982,27.6372,"Feb 22, 13",0.011661807580174937
2013-02-25,27.97,28.05,27.37,27.37,48011248,48011248,-0.39,-1.405,27.6801,"Feb 25, 13",-0.0025510204081632755
2013-02-26,27.38,27.6,27.34,27.37,49917353,49917353,0,0,27.4087,"Feb 26, 13",-0.0025510204081632755
2013-02-27,27.42,28,27.33,27.81,36390889,36390889,0.44,1.608,27.7659,"Feb 27, 13",0.013483965014577166
2013-02-28,27.88,27.97,27.74,27.8,35836861,35836861,-0.01,-0.036,27.8482,"Feb 28, 13",0.013119533527696771
2013-03-01,27.72,27.98,27.52,27.95,34849287,34849287,0.15,0.54,27.8329,"Mar 1, 13",0.018586005830903717
2013-03-04,27.85,28.15,27.7,28.15,38163549,38163549,0.2,0.716,27.9462,"Mar 4, 13",0.02587463556851302
2013-03-05,28.29,28.54,28.16,28.35,41431097,41431097,0.2,0.71,28.3459,"Mar 5, 13",0.03316326530612245
