date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-02-04,82.19,82.61,81.11,81.44,1029171,1029171,-2.13,-2.549,81.611,"Feb 4, 13",0
2013-02-05,81.43,81.8899,81.33,81.88,938708,938708,0.44,0.54,81.7123,"Feb 5, 13",0.005402750491159108
2013-02-06,80.13,80.65,79.6,80.16,1261469,1261469,-1.72,-2.101,80.127,"Feb 6, 13",-0.015717092337917498
2013-02-07,79.93,80.04,78.92,79.74,1309793,1309793,-0.42,-0.524,79.5844,"Feb 7, 13",-0.020874263261296697
2013-02-08,79.51,80.046,79.43,79.92,1373007,1373007,0.18,0.226,79.7758,"Feb 8, 13",-0.018664047151276966
2013-02-11,79.21,79.36,78.57,79.24,1645075,1645075,-0.68,-0.851,79.0818,"Feb 11, 13",-0.027013752455795712
2013-02-12,79.62,80.93,79.5,80.93,939195,939195,1.69,2.133,80.5188,"Feb 12, 13",-0.006262278978388887
2013-02-13,80.76,81.04,80.38,80.67,723173,723173,-0.26,-0.321,80.6632,"Feb 13, 13",-0.00945481335952844
2013-02-14,79.45,80.07,79.32,80.07,816519,816519,-0.6,-0.744,79.7501,"Feb 14, 13",-0.016822200392927363
2013-02-15,80.23,80.49,79.75,80.04,894740,894740,-0.03,-0.037,80.0808,"Feb 15, 13",-0.017190569744597144
2013-02-19,79.94,80.54,79.82,80.54,705616,705616,0.5,0.625,80.2084,"Feb 19, 13",-0.011051080550098128
2013-02-20,80.65,80.88,79.67,79.7,1038130,1038130,-0.84,-1.043,80.3253,"Feb 20, 13",-0.02136542239685652
2013-02-21,78.18,78.55,77.96,78.05,1088930,1088930,-1.65,-2.07,78.182,"Feb 21, 13",-0.041625736738703345
2013-02-22,78.21,78.94,77.76,78.91,654296,654296,0.86,1.102,78.4115,"Feb 22, 13",-0.031065815324165046
2013-02-25,80.9,81.17,78.24,78.26,1629094,1629094,-0.65,-0.824,79.334,"Feb 25, 13",-0.039047151277013664
2013-02-26,77.69,78.2,77,77.86,1437092,1437092,-0.4,-0.511,77.6851,"Feb 26, 13",-0.04395874263261295
2013-02-27,77.44,78.7,77.37,78.6,1593309,1593309,0.74,0.95,78.1305,"Feb 27, 13",-0.034872298624754466
